time;gFx;gFy;gFz;TgF
0,007000;0,0307;-0,0043;0,9844;0,985
0,008000;0,0302;-0,0023;0,9854;0,986
0,015000;0,0302;-0,0028;0,9864;0,987
0,026000;0,0321;-0,0028;0,9859;0,986
0,031000;0,0297;-0,0038;0,9854;0,986
0,042000;0,0307;-0,0048;0,9859;0,986
0,056000;0,0311;-0,0033;0,9864;0,987
0,061000;0,0307;-0,0038;0,9839;0,984
0,072000;0,0292;-0,0053;0,9839;0,984
0,081000;0,0302;-0,0023;0,9815;0,982
0,091000;0,0292;-0,0033;0,9835;0,984
0,104000;0,0311;-0,0033;0,9849;0,985
0,112000;0,0307;-0,0053;0,9854;0,986
0,122000;0,0297;-0,0038;0,9854;0,986
0,132000;0,0297;-0,0043;0,9839;0,984
0,154000;0,0297;-0,0033;0,9839;0,984
0,156000;0,0302;-0,0043;0,9849;0,985
0,162000;0,0292;-0,0018;0,9859;0,986
0,174000;0,0307;-0,0048;0,9854;0,986
0,182000;0,0302;-0,0043;0,9844;0,985
0,192000;0,0302;-0,0028;0,9839;0,984
0,202000;0,0307;-0,0043;0,9830;0,983
0,212000;0,0307;-0,0033;0,9849;0,985
0,238000;0,0302;-0,0038;0,9844;0,985
0,240000;0,0302;-0,0028;0,9835;0,984
0,242000;0,0297;-0,0033;0,9854;0,986
0,252000;0,0307;-0,0053;0,9849;0,985
0,262000;0,0302;-0,0028;0,9859;0,986
0,274000;0,0302;-0,0033;0,9854;0,986
0,282000;0,0311;-0,0048;0,9849;0,985
0,293000;0,0302;-0,0033;0,9854;0,986
0,302000;0,0311;-0,0028;0,9830;0,983
0,313000;0,0302;-0,0043;0,9820;0,982
0,327000;0,0302;-0,0028;0,9815;0,982
0,332000;0,0311;-0,0043;0,9864;0,987
0,343000;0,0292;-0,0009;0,9830;0,983
0,352000;0,0311;-0,0023;0,9835;0,984
0,362000;0,0311;-0,0043;0,9844;0,985
0,374000;0,0307;-0,0043;0,9864;0,987
0,382000;0,0307;-0,0053;0,9859;0,986
0,391000;0,0302;-0,0023;0,9844;0,985
0,401000;0,0297;-0,0028;0,9864;0,987
0,411000;0,0302;-0,0062;0,9859;0,986
0,421000;0,0316;-0,0038;0,9844;0,985
0,431000;0,0311;-0,0038;0,9859;0,986
0,443000;0,0302;-0,0033;0,9844;0,985
0,451000;0,0302;-0,0038;0,9844;0,985
0,462000;0,0297;-0,0038;0,9869;0,987
0,472000;0,0302;-0,0048;0,9825;0,983
0,482000;0,0297;-0,0028;0,9874;0,988
0,493000;0,0292;-0,0043;0,9835;0,984
0,502000;0,0297;-0,0048;0,9830;0,983
0,512000;0,0307;-0,0013;0,9844;0,985
0,522000;0,0297;-0,0048;0,9864;0,987
0,532000;0,0297;-0,0023;0,9859;0,986
0,546000;0,0302;-0,0038;0,9835;0,984
0,552000;0,0297;-0,0028;0,9874;0,988
0,561000;0,0307;-0,0048;0,9830;0,983
0,572000;0,0302;-0,0023;0,9844;0,985
0,581000;0,0307;-0,0038;0,9874;0,988
0,593000;0,0302;-0,0043;0,9854;0,986
0,602000;0,0287;-0,0043;0,9835;0,984
0,627000;0,0302;-0,0053;0,9839;0,984
0,631000;0,0297;-0,0028;0,9854;0,986
0,632000;0,0307;-0,0038;0,9844;0,985
0,642000;0,0316;-0,0023;0,9849;0,985
0,652000;0,0307;-0,0057;0,9854;0,986
0,677000;0,0307;-0,0033;0,9844;0,985
0,679000;0,0302;-0,0057;0,9825;0,983
0,682000;0,0287;-0,0048;0,9888;0,989
0,692000;0,0287;-0,0028;0,9859;0,986
0,702000;0,0302;-0,0038;0,9869;0,987
0,712000;0,0316;-0,0057;0,9839;0,984
0,722000;0,0302;-0,0033;0,9825;0,983
0,732000;0,0292;-0,0023;0,9864;0,987
0,741000;0,0297;-0,0057;0,9849;0,985
0,752000;0,0287;-0,0038;0,9844;0,985
0,763000;0,0307;-0,0053;0,9825;0,983
0,772000;0,0307;-0,0023;0,9844;0,985
0,781000;0,0302;-0,0048;0,9835;0,984
0,791000;0,0302;-0,0038;0,9859;0,986
0,801000;0,0307;-0,0043;0,9864;0,987
0,812000;0,0302;-0,0033;0,9874;0,988
0,822000;0,0302;-0,0038;0,9849;0,985
0,831000;0,0302;-0,0038;0,9825;0,983
0,842000;0,0302;-0,0033;0,9805;0,981
0,858000;0,0287;-0,0023;0,9859;0,986
0,863000;0,0316;-0,0038;0,9849;0,985
0,872000;0,0302;-0,0048;0,9849;0,985
0,882000;0,0307;-0,0023;0,9835;0,984
0,891000;0,0307;-0,0028;0,9864;0,987
0,901000;0,0302;-0,0023;0,9839;0,984
0,911000;0,0302;-0,0043;0,9844;0,985
0,922000;0,0307;-0,0038;0,9849;0,985
0,937000;0,0311;-0,0048;0,9849;0,985
0,942000;0,0302;-0,0033;0,9825;0,983
0,952000;0,0297;-0,0028;0,9869;0,987
0,961000;0,0311;-0,0038;0,9849;0,985
0,972000;0,0297;-0,0033;0,9859;0,986
0,982000;0,0311;-0,0048;0,9830;0,983
0,992000;0,0302;-0,0048;0,9839;0,984
1,001000;0,0311;-0,0067;0,9825;0,983
1,012000;0,0307;-0,0043;0,9849;0,985
1,021000;0,0307;-0,0038;0,9864;0,987
1,041000;0,0302;-0,0038;0,9839;0,984
1,044000;0,0297;-0,0048;0,9864;0,987
1,052000;0,0302;-0,0013;0,9859;0,986
1,061000;0,0307;-0,0033;0,9839;0,984
1,071000;0,0302;-0,0023;0,9859;0,986
1,085000;0,0302;-0,0023;0,9849;0,985
1,091000;0,0307;-0,0048;0,9844;0,985
1,103000;0,0307;-0,0038;0,9839;0,984
1,112000;0,0307;-0,0038;0,9859;0,986
1,122000;0,0292;-0,0033;0,9859;0,986
1,132000;0,0302;-0,0038;0,9859;0,986
1,146000;0,0326;-0,0033;0,9869;0,987
1,159000;0,0297;-0,0033;0,9844;0,985
1,162000;0,0307;-0,0038;0,9835;0,984
1,176000;0,0302;-0,0048;0,9844;0,985
1,181000;0,0302;-0,0043;0,9859;0,986
1,192000;0,0311;-0,0033;0,9835;0,984
1,204000;0,0302;-0,0038;0,9859;0,986
1,212000;0,0302;-0,0023;0,9825;0,983
1,222000;0,0302;-0,0038;0,9830;0,983
1,232000;0,0311;-0,0028;0,9874;0,988
1,244000;0,0297;-0,0004;0,9839;0,984
1,256000;0,0287;-0,0038;0,9820;0,982
1,261000;0,0307;-0,0033;0,9849;0,985
1,271000;0,0297;-0,0038;0,9844;0,985
1,281000;0,0292;-0,0033;0,9825;0,983
1,291000;0,0302;-0,0033;0,9839;0,984
1,304000;0,0336;-0,0057;0,9815;0,982
1,311000;0,0370;-0,0092;0,9825;0,983
1,322000;0,0272;0,0018;0,9883;0,989
1,331000;0,0214;0,0043;0,9854;0,986
1,350000;0,0268;0,0023;0,9854;0,986
1,355000;0,0189;0,0097;1,0059;1,006
1,365000;0,0194;0,0111;0,9654;0,966
1,382000;0,0209;0,0067;0,9913;0,992
1,383000;0,0233;0,0048;0,9815;0,982
1,391000;0,0268;0,0057;0,9825;0,983
1,402000;0,0268;0,0004;0,9976;0,998
1,411000;0,0282;0,0013;1,0118;1,012
1,428000;0,0272;0,0038;1,0157;1,016
1,432000;0,0297;0,0013;1,0387;1,039
1,441000;0,0492;0,0004;1,0348;1,036
1,451000;0,0463;0,0140;1,0015;1,003
1,461000;0,0307;0,0111;0,9952;0,996
1,471000;0,0316;0,0331;0,9869;0,988
1,482000;0,0082;0,0199;0,9996;1,000
1,495000;-0,0180;0,0140;1,0196;1,020
1,502000;-0,0385;0,0155;1,0367;1,038
1,512000;-0,0131;0,0282;1,0392;1,040
1,531000;0,0351;0,0390;1,0450;1,046
1,534000;0,0429;0,0458;1,0450;1,047
1,549000;0,0492;0,0610;1,0338;1,037
1,552000;0,0610;0,0575;1,0191;1,023
1,564000;0,0424;0,0947;0,9864;0,992
1,572000;0,0478;0,1298;0,9791;0,989
1,581000;0,0355;0,1548;0,9659;0,979
1,593000;0,0263;0,1870;0,9522;0,971
1,601000;0,0170;0,1753;0,9380;0,954
1,611000;0,0038;0,1684;0,9385;0,954
1,621000;-0,0082;0,1611;0,9551;0,969
1,632000;0,0038;0,1328;0,9761;0,985
1,642000;0,0097;0,1567;0,9805;0,993
1,652000;0,0101;0,1895;0,9781;0,996
1,661000;-0,0033;0,2173;0,9556;0,980
1,671000;-0,0155;0,2168;0,9580;0,982
1,681000;-0,0062;0,2300;0,9517;0,979
1,692000;0,0028;0,2413;0,9551;0,985
1,701000;-0,0062;0,2540;0,9160;0,951
1,711000;-0,0087;0,2667;0,9063;0,945
1,722000;-0,0048;0,2882;0,9043;0,949
1,734000;-0,0238;0,2564;0,9165;0,952
1,754000;-0,0155;0,2535;0,8838;0,920
1,757000;-0,0067;0,2486;0,9170;0,950
1,771000;0,0072;0,2588;0,9102;0,946
1,774000;-0,0121;0,2520;0,9551;0,988
1,782000;-0,0228;0,2833;0,9605;1,002
1,796000;-0,0272;0,3243;0,9629;1,016
1,802000;-0,0282;0,3370;0,9507;1,009
1,813000;-0,0375;0,3439;0,9629;1,023
1,822000;-0,0448;0,3404;0,9444;1,005
1,832000;-0,0619;0,3243;0,9077;0,966
1,842000;-0,0302;0,3375;0,8510;0,916
1,854000;-0,0307;0,3365;0,8857;0,948
1,869000;-0,0434;0,3233;0,8740;0,933
1,871000;-0,0395;0,3312;0,8999;0,960
1,889000;-0,0331;0,3610;0,9102;0,980
1,891000;-0,0311;0,3790;0,8818;0,960
1,905000;-0,0346;0,3668;0,9541;1,023
1,922000;-0,0204;0,3986;0,9463;1,027
1,923000;-0,0302;0,3937;0,8784;0,963
1,932000;-0,0321;0,4069;0,8965;0,985
1,941000;-0,0302;0,3893;0,9136;0,994
1,952000;-0,0145;0,3849;0,8994;0,978
1,963000;-0,0106;0,3908;0,8413;0,928
1,971000;-0,0287;0,4035;0,8808;0,969
1,982000;-0,0253;0,4044;0,8545;0,946
1,992000;-0,0258;0,4093;0,8740;0,965
2,001000;-0,0302;0,4211;0,9107;1,004
2,014000;-0,0414;0,4523;0,8657;0,978
2,021000;-0,0434;0,4479;0,8823;0,990
2,031000;-0,0483;0,4514;0,8755;0,986
2,041000;-0,0478;0,4416;0,8965;1,000
2,054000;-0,0502;0,4430;0,8750;0,982
2,062000;-0,0346;0,4694;0,8452;0,967
2,072000;-0,0331;0,4777;0,8432;0,970
2,086000;-0,0380;0,4792;0,8584;0,984
2,092000;-0,0307;0,4841;0,8398;0,970
2,102000;-0,0341;0,4753;0,8554;0,979
2,113000;-0,0390;0,4944;0,8256;0,963
2,122000;-0,0297;0,4963;0,8144;0,954
2,138000;-0,0292;0,5334;0,8261;0,984
2,142000;-0,0463;0,5427;0,8291;0,992
2,152000;-0,0487;0,5540;0,8222;0,993
2,162000;-0,0458;0,5647;0,8095;0,988
2,172000;-0,0443;0,5628;0,8100;0,987
2,183000;-0,0439;0,5598;0,7958;0,974
2,192000;-0,0448;0,5554;0,8027;0,977
2,204000;-0,0507;0,5735;0,7616;0,955
2,213000;-0,0551;0,5794;0,7870;0,979
2,222000;-0,0517;0,5711;0,8076;0,990
2,244000;-0,0468;0,5838;0,7978;0,990
2,247000;-0,0551;0,5769;0,8222;1,006
2,254000;-0,0443;0,5784;0,7792;0,971
2,263000;-0,0390;0,5843;0,8105;1,000
2,273000;-0,0399;0,6102;0,7802;0,991
2,285000;-0,0580;0,6077;0,7357;0,956
2,293000;-0,0595;0,6146;0,7328;0,958
2,302000;-0,0570;0,6219;0,7455;0,973
2,313000;-0,0614;0,6229;0,7699;0,992
2,323000;-0,0624;0,6233;0,7225;0,956
2,333000;-0,0570;0,6302;0,7118;0,952
2,346000;-0,0595;0,6458;0,7211;0,970
2,353000;-0,0663;0,6834;0,6825;0,968
2,363000;-0,0737;0,6800;0,7313;1,001
2,373000;-0,0839;0,6756;0,6624;0,950
2,383000;-0,1010;0,6639;0,6370;0,926
2,393000;-0,0947;0,6786;0,7206;0,994
2,406000;-0,0815;0,6375;0,6756;0,932
2,413000;-0,0727;0,6517;0,6918;0,953
2,423000;-0,0908;0,6834;0,6854;0,972
2,433000;-0,0820;0,6834;0,7128;0,991
2,443000;-0,0971;0,6893;0,6688;0,965
2,462000;-0,0771;0,7035;0,6991;0,995
2,465000;-0,0805;0,6869;0,6566;0,954
2,481000;-0,0634;0,7001;0,7030;0,994
2,484000;-0,0795;0,7128;0,6634;0,977
2,501000;-0,0839;0,7264;0,6429;0,974
2,503000;-0,1123;0,7318;0,7592;1,060
2,512000;-0,1450;0,6864;0,6287;0,942
2,522000;-0,1059;0,7260;0,6927;1,009
2,532000;-0,1049;0,7176;0,6116;0,949
2,542000;-0,1010;0,7108;0,6116;0,943
