time;wx (rad/s);wy (rad/s);wz (rad/s)
0,001;0,00;-0,06;-0,01
0,002;-0,03;-0,04;-0,01
0,002;-0,06;-0,03;-0,01
0,002;-0,09;-0,01;-0,01
0,003;-0,12;0,00;-0,01
0,016;-0,15;0,02;-0,01
0,017;-0,18;0,03;-0,01
0,018;-0,21;0,04;-0,01
0,018;-0,23;0,04;-0,00
0,028;-0,25;0,04;0,00
0,029;-0,26;0,03;0,01
0,029;-0,28;0,02;0,01
0,033;-0,28;-0,00;0,02
0,038;-0,28;-0,02;0,02
0,040;-0,28;-0,04;0,02
0,044;-0,27;-0,07;0,02
0,048;-0,26;-0,09;0,02
0,058;-0,25;-0,11;0,02
0,059;-0,24;-0,12;0,01
0,060;-0,23;-0,13;0,01
0,065;-0,21;-0,13;0,01
0,068;-0,20;-0,14;0,01
0,073;-0,19;-0,14;0,01
0,077;-0,18;-0,14;0,01
0,080;-0,17;-0,13;0,00
0,085;-0,17;-0,13;-0,00
0,098;-0,17;-0,12;-0,01
0,099;-0,18;-0,11;-0,01
0,099;-0,21;-0,09;0,01
0,100;-0,24;-0,07;0,03
0,106;-0,28;-0,06;0,06
0,113;-0,33;-0,04;0,08
0,114;-0,40;-0,00;0,10
0,117;-0,47;0,02;0,11
0,134;-0,58;-0,00;0,13
0,137;-0,70;-0,02;0,14
0,138;-0,82;-0,04;0,16
0,138;-0,95;-0,09;0,18
0,138;-1,09;-0,13;0,20
0,144;-1,22;-0,13;0,21
0,145;-1,35;-0,09;0,22
0,149;-1,45;-0,06;0,22
0,155;-1,54;-0,02;0,23
0,157;-1,62;-0,01;0,23
0,161;-1,68;-0,00;0,23
0,165;-1,73;0,00;0,23
0,169;-1,77;0,01;0,23
0,182;-1,80;0,03;0,23
0,183;-1,81;0,06;0,23
0,183;-1,82;0,10;0,22
0,185;-1,83;0,14;0,20
0,189;-1,84;0,18;0,19
0,193;-1,85;0,22;0,16
0,197;-1,87;0,24;0,15
0,201;-1,89;0,24;0,14
0,221;-1,91;0,24;0,13
0,223;-1,91;0,21;0,12
0,223;-1,91;0,17;0,12
0,223;-1,90;0,11;0,13
0,224;-1,88;0,05;0,13
0,229;-1,86;0,00;0,14
0,230;-1,82;-0,04;0,14
0,233;-1,76;-0,07;0,15
0,239;-1,70;-0,09;0,15
0,241;-1,63;-0,10;0,14
0,245;-1,53;-0,10;0,12
0,249;-1,42;-0,10;0,10
0,255;-1,29;-0,08;0,07
0,257;-1,13;-0,07;0,04
0,261;-0,96;-0,06;0,00
0,265;-0,77;-0,06;-0,03
0,269;-0,57;-0,07;-0,07
